"Device Name","D2 - 2867308"
"Device Model","Kestrel DROP 2"
"Serial Number","2867308"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","%","°C","°C"
"2025-05-08 11:00:00 PM","19.4","62.5","18.5","12.0","point"
"2025-05-08 11:10:00 PM","19.3","62.4","18.5","12.0","point"
"2025-05-08 11:20:00 PM","19.4","62.5","18.5","12.0","point"
"2025-05-08 11:30:00 PM","19.3","62.5","18.5","12.0","point"
"2025-05-08 11:40:00 PM","19.3","62.5","18.5","12.0","point"
"2025-05-08 11:50:00 PM","19.4","62.5","18.7","12.1","point"
"2025-05-09 12:00:00 AM","19.3","62.5","18.5","12.0","point"
"2025-05-09 12:10:00 AM","19.3","62.5","18.4","11.9","point"
"2025-05-09 12:20:00 AM","19.3","62.5","18.5","12.0","point"
"2025-05-09 12:30:00 AM","19.3","62.5","18.4","11.9","point"
"2025-05-09 12:40:00 AM","19.3","62.5","18.5","12.0","point"
"2025-05-09 12:50:00 AM","19.4","62.5","18.5","12.0","point"
"2025-05-09 01:00:00 AM","19.3","62.4","18.5","12.0","point"
"2025-05-09 01:10:00 AM","19.3","62.4","18.4","11.9","point"
"2025-05-09 01:20:00 AM","19.3","62.4","18.4","11.9","point"
"2025-05-09 01:30:00 AM","19.3","62.4","18.4","11.9","point"
"2025-05-09 01:40:00 AM","19.3","62.4","18.5","12.0","point"
"2025-05-09 01:50:00 AM","19.3","62.4","18.5","12.0","point"
"2025-05-09 02:00:00 AM","19.3","62.4","18.5","12.0","point"
"2025-05-09 02:10:00 AM","19.3","62.4","18.5","12.0","point"
"2025-05-09 02:20:00 AM","19.3","62.4","18.5","12.0","point"
"2025-05-09 02:30:00 AM","19.3","62.4","18.5","12.0","point"
"2025-05-09 02:40:00 AM","19.3","62.4","18.4","11.9","point"
"2025-05-09 02:50:00 AM","19.3","62.4","18.5","12.0","point"
"2025-05-09 03:00:00 AM","19.3","62.4","18.4","11.9","point"
"2025-05-09 03:10:00 AM","19.3","62.4","18.4","11.9","point"
"2025-05-09 03:20:00 AM","19.4","62.4","18.5","12.0","point"
"2025-05-09 03:30:00 AM","19.3","62.4","18.4","11.9","point"
"2025-05-09 03:40:00 AM","19.3","62.4","18.4","11.9","point"
"2025-05-09 03:50:00 AM","19.3","62.4","18.4","11.9","point"
"2025-05-09 04:00:00 AM","19.3","62.4","18.4","11.9","point"
"2025-05-09 04:10:00 AM","19.3","62.4","18.4","11.9","point"
"2025-05-09 04:20:00 AM","19.3","62.4","18.4","11.9","point"
"2025-05-09 04:30:00 AM","19.3","62.4","18.4","11.9","point"
"2025-05-09 04:40:00 AM","19.2","62.4","18.4","11.9","point"
"2025-05-09 04:50:00 AM","19.3","62.4","18.4","11.9","point"
"2025-05-09 05:00:00 AM","19.2","62.4","18.4","11.9","point"
"2025-05-09 05:10:00 AM","19.3","62.4","18.4","11.9","point"
"2025-05-09 05:20:00 AM","19.3","62.4","18.4","11.9","point"
"2025-05-09 05:30:00 AM","19.2","62.4","18.4","11.8","point"
"2025-05-09 05:40:00 AM","19.3","62.4","18.4","11.9","point"
"2025-05-09 05:50:00 AM","19.3","62.4","18.4","11.9","point"
"2025-05-09 06:00:00 AM","19.2","62.4","18.4","11.9","point"
"2025-05-09 06:10:00 AM","19.2","62.4","18.4","11.8","point"
"2025-05-09 06:20:00 AM","19.2","62.4","18.3","11.8","point"
"2025-05-09 06:30:00 AM","19.2","62.4","18.3","11.8","point"
"2025-05-09 06:40:00 AM","19.2","62.3","18.4","11.9","point"
"2025-05-09 06:50:00 AM","19.2","62.3","18.3","11.8","point"
"2025-05-09 07:00:00 AM","19.2","62.3","18.3","11.8","point"
"2025-05-09 07:10:00 AM","19.1","62.3","18.3","11.8","point"
"2025-05-09 07:20:00 AM","19.1","62.3","18.3","11.7","point"
"2025-05-09 07:30:00 AM","19.1","62.2","18.3","11.7","point"
"2025-05-09 07:40:00 AM","19.1","62.2","18.3","11.8","point"
"2025-05-09 07:50:00 AM","19.1","62.2","18.3","11.7","point"
"2025-05-09 08:00:00 AM","19.1","62.2","18.3","11.7","point"
"2025-05-09 08:10:00 AM","19.1","62.2","18.1","11.7","point"
"2025-05-09 08:20:00 AM","19.1","62.1","18.3","11.7","point"
"2025-05-09 08:30:00 AM","19.1","62.1","18.1","11.6","point"
"2025-05-09 08:40:00 AM","19.1","62.1","18.1","11.6","point"
"2025-05-09 08:50:00 AM","19.0","62.1","18.1","11.6","point"
"2025-05-09 09:00:00 AM","19.1","62.1","18.1","11.6","point"
"2025-05-09 09:10:00 AM","19.0","62.1","18.1","11.6","point"
"2025-05-09 09:20:00 AM","19.0","62.1","18.1","11.6","point"
"2025-05-09 09:30:00 AM","19.0","62.1","18.1","11.6","point"
"2025-05-09 09:40:00 AM","19.0","62.1","18.1","11.6","point"
"2025-05-09 09:50:00 AM","19.0","62.1","18.1","11.6","point"
"2025-05-09 10:00:00 AM","19.0","62.1","18.1","11.6","point"
"2025-05-09 10:10:00 AM","18.9","62.1","18.0","11.5","point"
"2025-05-09 10:20:00 AM","19.0","62.1","18.1","11.6","point"
"2025-05-09 10:30:00 AM","19.1","62.1","18.1","11.6","point"
"2025-05-09 10:40:00 AM","18.9","62.1","18.0","11.5","point"
"2025-05-09 10:50:00 AM","19.0","62.1","18.1","11.6","point"
"2025-05-09 11:00:00 AM","19.0","62.1","18.0","11.6","point"
"2025-05-09 11:10:00 AM","19.0","62.1","18.0","11.6","point"
"2025-05-09 11:20:00 AM","19.0","62.1","18.0","11.6","point"
