"Device Name","D2 - 2867305"
"Device Model","Kestrel DROP 2"
"Serial Number","2867305"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","%","°C","°C"
"2025-04-28 01:40:00 AM","20.1","63.2","19.5","12.9","point"
"2025-04-28 01:50:00 AM","20.1","63.2","19.7","12.9","point"
"2025-04-28 02:00:00 AM","20.1","63.2","19.5","12.9","point"
"2025-04-28 02:10:00 AM","20.1","63.2","19.5","12.9","point"
"2025-04-28 02:20:00 AM","20.1","63.2","19.5","12.9","point"
"2025-04-28 02:30:00 AM","20.1","63.2","19.7","12.9","point"
"2025-04-28 02:40:00 AM","20.1","63.2","19.5","12.9","point"
"2025-04-28 02:50:00 AM","20.0","63.2","19.5","12.8","point"
"2025-04-28 03:00:00 AM","20.1","63.2","19.5","12.8","point"
"2025-04-28 03:10:00 AM","20.0","63.2","19.5","12.8","point"
"2025-04-28 03:20:00 AM","20.1","63.2","19.5","12.8","point"
"2025-04-28 03:30:00 AM","20.0","63.2","19.5","12.8","point"
"2025-04-28 03:40:00 AM","20.0","63.2","19.5","12.8","point"
"2025-04-28 03:50:00 AM","20.1","63.2","19.5","12.9","point"
"2025-04-28 04:00:00 AM","20.0","63.2","19.5","12.8","point"
"2025-04-28 04:10:00 AM","20.0","63.2","19.4","12.8","point"
"2025-04-28 04:20:00 AM","20.1","63.2","19.7","12.9","point"
"2025-04-28 04:30:00 AM","20.0","63.2","19.5","12.8","point"
"2025-04-28 04:40:00 AM","20.0","63.2","19.5","12.8","point"
"2025-04-28 04:50:00 AM","20.0","63.2","19.4","12.8","point"
"2025-04-28 05:00:00 AM","20.0","63.2","19.4","12.8","point"
"2025-04-28 05:10:00 AM","20.0","63.2","19.4","12.8","point"
"2025-04-28 05:20:00 AM","20.0","63.2","19.5","12.8","point"
"2025-04-28 05:30:00 AM","20.0","63.2","19.5","12.8","point"
"2025-04-28 05:40:00 AM","20.0","63.2","19.5","12.8","point"
"2025-04-28 05:50:00 AM","20.1","63.2","19.5","12.8","point"
"2025-04-28 06:00:00 AM","20.0","63.2","19.5","12.8","point"
"2025-04-28 06:10:00 AM","20.0","63.2","19.5","12.8","point"
"2025-04-28 06:20:00 AM","20.0","63.2","19.4","12.8","point"
"2025-04-28 06:30:00 AM","20.0","63.2","19.5","12.8","point"
"2025-04-28 06:40:00 AM","20.0","63.2","19.4","12.8","point"
"2025-04-28 06:50:00 AM","19.9","63.2","19.4","12.7","point"
"2025-04-28 07:00:00 AM","20.0","63.2","19.4","12.8","point"
"2025-04-28 07:10:00 AM","20.0","63.2","19.4","12.8","point"
"2025-04-28 07:20:00 AM","20.0","63.2","19.4","12.8","point"
"2025-04-28 07:30:00 AM","20.0","63.2","19.4","12.8","point"
"2025-04-28 07:40:00 AM","19.9","63.2","19.4","12.7","point"
"2025-04-28 07:50:00 AM","20.0","63.2","19.4","12.8","point"
"2025-04-28 08:00:00 AM","20.0","63.2","19.4","12.7","point"
"2025-04-28 08:10:00 AM","20.0","63.2","19.4","12.8","point"
"2025-04-28 08:20:00 AM","20.0","63.2","19.4","12.7","point"
"2025-04-28 08:30:00 AM","20.0","63.2","19.4","12.7","point"
"2025-04-28 08:40:00 AM","19.9","63.2","19.4","12.7","point"
"2025-04-28 08:50:00 AM","19.9","63.2","19.4","12.7","point"
"2025-04-28 09:00:00 AM","20.0","63.2","19.4","12.7","point"
"2025-04-28 09:10:00 AM","19.9","63.2","19.4","12.7","point"
"2025-04-28 09:20:00 AM","20.0","63.2","19.4","12.8","point"
"2025-04-28 09:30:00 AM","20.0","63.2","19.4","12.7","point"
