deployment_id,date,deploy,habitat,spacing_m,point,audiomoth,old_dir,new_rel_path,n_wav,status,notes
2026-06-02_forest_15m_p1,2026-06-02,day1,forest,15,1,A05,F1501_A05,data/raw/audio/2026-06-02/forest_15m_p1_A05,78,analysed,
2026-06-02_forest_15m_p2,2026-06-02,day1,forest,15,2,A06,F1502_A06,data/raw/audio/2026-06-02/forest_15m_p2_A06,78,analysed,
2026-06-02_forest_15m_p3,2026-06-02,day1,forest,15,3,A08,F1503_A08,data/raw/audio/2026-06-02/forest_15m_p3_A08,62,analysed,
2026-06-02_pasture_15m_p1,2026-06-02,day1,pasture,15,1,A04,P1501_A04,data/raw/audio/2026-06-02/pasture_15m_p1_A04,113,analysed,
2026-06-02_pasture_15m_p2,2026-06-02,day1,pasture,15,2,A01,P1502_A01,data/raw/audio/2026-06-02/pasture_15m_p2_A01,113,analysed,
2026-06-02_pasture_15m_p3,2026-06-02,day1,pasture,15,3,A02,P1503_A02,data/raw/audio/2026-06-02/pasture_15m_p3_A02,112,analysed,
2026-06-03_forest_30m_p1,2026-06-03,day2,forest,30,1,A01,F3001_A01,data/raw/audio/2026-06-03/forest_30m_p1_A01,70,analysed,
2026-06-03_forest_30m_p2,2026-06-03,day2,forest,30,2,A05,F3002_A05,data/raw/audio/2026-06-03/forest_30m_p2_A05,74,analysed,
2026-06-03_forest_30m_p3,2026-06-03,day2,forest,30,3,A07,F3003_A07,data/raw/audio/2026-06-03/forest_30m_p3_A07,82,analysed,
2026-06-03_pasture_30m_p1,2026-06-03,day2,pasture,30,1,A06,P3001_A06,data/raw/audio/2026-06-03/pasture_30m_p1_A06,71,analysed,
2026-06-03_pasture_30m_p2,2026-06-03,day2,pasture,30,2,A04,P3002_A04,data/raw/audio/2026-06-03/pasture_30m_p2_A04,72,analysed,
2026-06-04_forest_60m_p2,2026-06-04,day3,forest,60,2,A03,F6002_A03,data/raw/audio/2026-06-04/forest_60m_p2_A03,70,analysed,
2026-06-04_forest_60m_p3,2026-06-04,day3,forest,60,3,A05,F6003_A05,data/raw/audio/2026-06-04/forest_60m_p3_A05,70,analysed,
2026-06-04_pasture_60m_p2,2026-06-04,day3,pasture,60,2,A02,P6002_A02,data/raw/audio/2026-06-04/pasture_60m_p2_A02,71,analysed,
2026-06-05_forest_15m_p1,2026-06-05,day4,forest,15,1,A07,F1501_A07,data/raw/audio/2026-06-05/forest_15m_p1_A07,71,analysed,
2026-06-05_forest_15m_p2,2026-06-05,day4,forest,15,2,A01,F1502_A01,data/raw/audio/2026-06-05/forest_15m_p2_A01,71,analysed,
2026-06-05_pasture_15m_p1,2026-06-05,day4,pasture,15,1,A02,P1501_A02,data/raw/audio/2026-06-05/pasture_15m_p1_A02,72,analysed,
2026-06-05_pasture_15m_p2,2026-06-05,day4,pasture,15,2,A05,P1502_A05,data/raw/audio/2026-06-05/pasture_15m_p2_A05,72,analysed,
2026-06-05_pasture_15m_p3,2026-06-05,day4,pasture,15,3,A03,P1503_A03,data/raw/audio/2026-06-05/pasture_15m_p3_A03,72,analysed,
2026-06-06_forest_30m_p1,2026-06-06,day5,forest,30,1,A02,F3001_A02,data/raw/audio/2026-06-06/forest_30m_p1_A02,71,analysed,
2026-06-06_forest_30m_p2,2026-06-06,day5,forest,30,2,A03,F3002_A03,data/raw/audio/2026-06-06/forest_30m_p2_A03,72,analysed,
2026-06-06_forest_30m_p3,2026-06-06,day5,forest,30,3,A01,F3003_A01,data/raw/audio/2026-06-06/forest_30m_p3_A01,72,analysed,
2026-06-06_pasture_30m_p1,2026-06-06,day5,pasture,30,1,A05,P3001_A05,data/raw/audio/2026-06-06/pasture_30m_p1_A05,72,analysed,
2026-06-06_pasture_30m_p2,2026-06-06,day5,pasture,30,2,A04,P3002_A04_6julio,data/raw/audio/2026-06-06/pasture_30m_p2_A04,73,analysed,
2026-06-06_pasture_30m_p3,2026-06-06,day5,pasture,30,3,A06,P3003_A06,data/raw/audio/2026-06-06/pasture_30m_p3_A06,74,analysed,
2026-06-07_forest_60m_p2,2026-06-07,day6,forest,60,2,A05,F6002_A05,data/raw/audio/2026-06-07/forest_60m_p2_A05,82,analysed,
2026-06-07_forest_60m_p3,2026-06-07,day6,forest,60,3,A06,F6003_A06,data/raw/audio/2026-06-07/forest_60m_p3_A06,82,analysed,
2026-06-07_pasture_60m_p1,2026-06-07,day6,pasture,60,1,A02,P6001_A02,data/raw/audio/2026-06-07/pasture_60m_p1_A02,83,analysed,
2026-06-07_pasture_60m_p3,2026-06-07,day6,pasture,60,3,A01,P6003_A01,data/raw/audio/2026-06-07/pasture_60m_p3_A01,86,analysed,
,,,,,,A04,F1502_A04,data/raw/audio/_unused/F1502_A04,70,unused,backup/duplicate forest 15 m p2 (not used in analysis)
,,,,,,A03,P3003_A03_didnt work,data/raw/audio/_unused/P3003_A03_didnt_work,108,unused,recorder failed (no usable data)
,,,,,,A07,P6003_A07_7Jun,data/raw/audio/_unused/P6003_A07_7Jun,71,unused,backup/extra pasture recorder (not used in analysis)
