device,deploy,habitat,point,spacing,n_files,ACI,BI,ADI
F1501_A05,day1,forest,1,15,24,306.9,13.4189,2.0325
F1502_A06,day1,forest,2,15,24,307.03,15.6647,2.0455
F1503_A08,day1,forest,3,15,24,314.7,11.6133,2.1999
P1501_A04,day1,pasture,1,15,24,303.47,15.3016,2.1829
P1502_A01,day1,pasture,2,15,24,306.06,14.8018,2.1408
P1503_A02,day1,pasture,3,15,24,309.71,17.0924,2.0978
F3001_A01,day2,forest,1,30,24,307.02,9.911,2.2442
F3002_A05,day2,forest,2,30,24,309.17,7.6778,2.2157
F3003_A07,day2,forest,3,30,24,309.99,7.5543,2.2504
P3001_A06,day2,pasture,1,30,24,304.72,10.5589,2.2724
P3002_A04,day2,pasture,2,30,24,315.45,10.2817,2.2274
F6002_A03,day3,forest,2,60,24,303.11,10.8184,2.2617
F6003_A05,day3,forest,3,60,24,302.81,10.1166,2.2377
P6002_A02,day3,pasture,2,60,24,318.9,10.5741,2.2146
F1501_A07,day4,forest,1,15,24,310.43,10.0805,2.2259
F1502_A01,day4,forest,2,15,24,309.82,11.937,2.2099
P1501_A02,day4,pasture,1,15,24,321.23,11.0023,2.2233
P1502_A05,day4,pasture,2,15,23,309.41,10.6598,2.2784
P1503_A03,day4,pasture,3,15,24,321.33,11.7053,2.1614
F3001_A02,day5,forest,1,30,24,302.1,8.6268,2.2672
F3002_A03,day5,forest,2,30,24,308.38,8.8113,2.2089
F3003_A01,day5,forest,3,30,24,308.89,7.1866,2.1978
P3001_A05,day5,pasture,1,30,24,307.63,10.9533,2.2308
P3002_A04_6julio,day5,pasture,2,30,24,318.93,11.9271,2.1238
P3003_A06,day5,pasture,3,30,24,313.95,9.5862,2.1957
F6002_A05,day6,forest,2,60,24,307.09,8.7996,2.1562
F6003_A06,day6,forest,3,60,24,311.2,8.1674,2.161
P6001_A02,day6,pasture,1,60,24,311.22,10.541,2.1558
P6003_A01,day6,pasture,3,60,24,316.4,12.3013,1.9793
