id,datetime,date,deploy,hour,daynight,habitat,point,point_num,audiomoth_id,spacing_m,group,species,common_name,confidence,clip_start_s,clip_end_s,audio_file,suspect_false_positive
2026-06-02-00029,2026-06-02 10:40:00,2026-06-02,day1,10,day,forest,F1,1,A05,15,bird,Colibri cyanotus,Lesser Violetear,0.993,87,90,/F1501_A05/20260602_104000.WAV,no
2026-06-02-00016,2026-06-02 10:40:00,2026-06-02,day1,10,day,forest,F1,1,A05,15,bird,Colibri cyanotus,Lesser Violetear,0.982,45,48,/F1501_A05/20260602_104000.WAV,no
2026-06-02-00004,2026-06-02 10:40:00,2026-06-02,day1,10,day,forest,F1,1,A05,15,bird,Colibri cyanotus,Lesser Violetear,0.979,9,12,/F1501_A05/20260602_104000.WAV,no
2026-06-02-00015,2026-06-02 10:40:00,2026-06-02,day1,10,day,forest,F1,1,A05,15,bird,Colibri cyanotus,Lesser Violetear,0.976,42,45,/F1501_A05/20260602_104000.WAV,no
2026-06-02-00034,2026-06-02 10:40:00,2026-06-02,day1,10,day,forest,F1,1,A05,15,bird,Colibri cyanotus,Lesser Violetear,0.97,102,105,/F1501_A05/20260602_104000.WAV,no
2026-06-02-00001,2026-06-02 10:40:00,2026-06-02,day1,10,day,forest,F1,1,A05,15,bird,Colibri cyanotus,Lesser Violetear,0.964,0,3,/F1501_A05/20260602_104000.WAV,no
2026-06-02-00006,2026-06-02 10:40:00,2026-06-02,day1,10,day,forest,F1,1,A05,15,bird,Colibri cyanotus,Lesser Violetear,0.96,15,18,/F1501_A05/20260602_104000.WAV,no
2026-06-02-00002,2026-06-02 10:40:00,2026-06-02,day1,10,day,forest,F1,1,A05,15,bird,Colibri cyanotus,Lesser Violetear,0.96,3,6,/F1501_A05/20260602_104000.WAV,no
2026-06-02-00019,2026-06-02 10:40:00,2026-06-02,day1,10,day,forest,F1,1,A05,15,bird,Colibri cyanotus,Lesser Violetear,0.948,57,60,/F1501_A05/20260602_104000.WAV,no
2026-06-02-00030,2026-06-02 10:40:00,2026-06-02,day1,10,day,forest,F1,1,A05,15,bird,Colibri cyanotus,Lesser Violetear,0.945,90,93,/F1501_A05/20260602_104000.WAV,no
2026-06-02-00013,2026-06-02 10:40:00,2026-06-02,day1,10,day,forest,F1,1,A05,15,bird,Colibri cyanotus,Lesser Violetear,0.941,36,39,/F1501_A05/20260602_104000.WAV,no
2026-06-02-00036,2026-06-02 10:40:00,2026-06-02,day1,10,day,forest,F1,1,A05,15,bird,Colibri cyanotus,Lesser Violetear,0.936,108,111,/F1501_A05/20260602_104000.WAV,no
2026-06-02-00027,2026-06-02 10:40:00,2026-06-02,day1,10,day,forest,F1,1,A05,15,bird,Colibri cyanotus,Lesser Violetear,0.932,81,84,/F1501_A05/20260602_104000.WAV,no
2026-06-02-00022,2026-06-02 10:40:00,2026-06-02,day1,10,day,forest,F1,1,A05,15,bird,Colibri cyanotus,Lesser Violetear,0.928,66,69,/F1501_A05/20260602_104000.WAV,no
2026-06-02-00032,2026-06-02 10:40:00,2026-06-02,day1,10,day,forest,F1,1,A05,15,bird,Colibri cyanotus,Lesser Violetear,0.921,96,99,/F1501_A05/20260602_104000.WAV,no
