datetime,date,hour,daynight,habitat,temp_c,rh_pct,dew_point_c
2026-06-02 21:10:00,2026-06-02,21,night,forest,26.7,59.5,18.1
2026-06-02 21:20:00,2026-06-02,21,night,forest,22.3,70.9,16.8
2026-06-02 21:30:00,2026-06-02,21,night,forest,22.4,78.8,18.5
2026-06-02 21:40:00,2026-06-02,21,night,forest,22.4,83.0,19.4
2026-06-02 21:50:00,2026-06-02,21,night,forest,22.6,83.0,19.5
2026-06-02 22:00:00,2026-06-02,22,night,forest,22.7,82.2,19.5
2026-06-02 22:10:00,2026-06-02,22,night,forest,22.7,81.7,19.4
2026-06-02 22:20:00,2026-06-02,22,night,forest,22.9,79.3,19.1
2026-06-02 22:30:00,2026-06-02,22,night,forest,23.1,77.1,18.8
2026-06-02 22:40:00,2026-06-02,22,night,forest,23.1,76.0,18.7
2026-06-02 22:50:00,2026-06-02,22,night,forest,23.1,75.5,18.6
2026-06-02 23:00:00,2026-06-02,23,night,forest,23.1,75.3,18.5
2026-06-02 23:10:00,2026-06-02,23,night,forest,23.1,75.3,18.5
2026-06-02 23:20:00,2026-06-02,23,night,forest,23.0,75.3,18.4
2026-06-02 23:30:00,2026-06-02,23,night,forest,23.0,75.4,18.4
2026-06-02 23:40:00,2026-06-02,23,night,forest,23.0,75.5,18.4
2026-06-02 23:50:00,2026-06-02,23,night,forest,22.9,75.7,18.4
2026-06-03 00:00:00,2026-06-03,0,night,forest,22.9,75.7,18.4
2026-06-03 00:10:00,2026-06-03,0,night,forest,22.8,75.9,18.3
2026-06-03 00:20:00,2026-06-03,0,night,forest,22.8,76.1,18.3
2026-06-03 00:30:00,2026-06-03,0,night,forest,22.7,76.3,18.3
2026-06-03 00:40:00,2026-06-03,0,night,forest,22.7,76.5,18.3
2026-06-03 00:50:00,2026-06-03,0,night,forest,22.6,76.7,18.3
2026-06-03 01:00:00,2026-06-03,1,night,forest,22.6,77.0,18.3
2026-06-03 01:10:00,2026-06-03,1,night,forest,22.6,77.2,18.4
2026-06-03 01:20:00,2026-06-03,1,night,forest,22.5,77.3,18.4
2026-06-03 01:30:00,2026-06-03,1,night,forest,22.5,77.5,18.4
2026-06-03 01:40:00,2026-06-03,1,night,forest,22.5,77.6,18.4
2026-06-03 01:50:00,2026-06-03,1,night,forest,22.4,77.8,18.4
2026-06-03 02:00:00,2026-06-03,2,night,forest,22.4,77.9,18.4
2026-06-03 02:10:00,2026-06-03,2,night,forest,22.4,78.1,18.4
2026-06-03 02:20:00,2026-06-03,2,night,forest,22.3,78.2,18.4
2026-06-03 02:30:00,2026-06-03,2,night,forest,22.3,78.3,18.3
2026-06-03 02:40:00,2026-06-03,2,night,forest,22.2,78.5,18.3
2026-06-03 02:50:00,2026-06-03,2,night,forest,22.1,78.5,18.2
2026-06-03 03:00:00,2026-06-03,3,night,forest,22.0,78.6,18.1
2026-06-03 03:10:00,2026-06-03,3,night,forest,21.9,78.4,18.0
2026-06-03 03:20:00,2026-06-03,3,night,forest,21.8,78.3,17.8
2026-06-03 03:30:00,2026-06-03,3,night,forest,21.7,78.5,17.8
2026-06-03 03:40:00,2026-06-03,3,night,forest,21.6,78.5,17.7
2026-06-03 03:50:00,2026-06-03,3,night,forest,21.5,78.4,17.6
2026-06-03 04:00:00,2026-06-03,4,night,forest,21.4,78.3,17.5
2026-06-03 04:10:00,2026-06-03,4,night,forest,21.3,78.1,17.3
2026-06-03 04:20:00,2026-06-03,4,night,forest,21.2,78.0,17.2
2026-06-03 04:30:00,2026-06-03,4,night,forest,21.1,77.8,17.1
2026-06-03 04:40:00,2026-06-03,4,night,forest,21.0,77.8,17.0
2026-06-03 04:50:00,2026-06-03,4,night,forest,20.9,77.7,16.8
2026-06-03 05:00:00,2026-06-03,5,night,forest,20.8,77.7,16.7
2026-06-03 05:10:00,2026-06-03,5,night,forest,20.7,77.6,16.6
2026-06-03 05:20:00,2026-06-03,5,night,forest,20.5,77.6,16.5
2026-06-03 05:30:00,2026-06-03,5,night,forest,20.4,77.6,16.4
2026-06-03 05:40:00,2026-06-03,5,night,forest,20.3,77.7,16.3
2026-06-03 05:50:00,2026-06-03,5,night,forest,20.2,77.6,16.2
2026-06-03 06:00:00,2026-06-03,6,day,forest,20.1,77.7,16.1
